system:index,construction_year,count,latitude,longitude,presence,zone,.geo
+1716360+643179,2020,25,28.88867957518826,77.09170279925993,0.8681249618530273,7371714363773027,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09170279925993,28.88867957518826]}"
+1716360+643197,2020,3,28.88967730403049,77.09165848237258,0.6115624904632568,7371710068805756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09165848237258,28.88967730403049]}"
+1716360+643320,2020,1,28.895231886870626,77.09164351045119,0.29039061069488525,7371710068805880,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09164351045119,28.895231886870626]}"
+1716361+643142,2020,2,28.887236880841964,77.09166596833329,0.6954687833786011,7371710068805702,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09166596833329,28.887236880841964]}"
+1716361+643159,2020,23,28.887842267229086,77.09169819051196,0.7165625095367432,7371722953707599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09169819051196,28.887842267229086]}"
+1716361+643165,2020,4,28.888247485536596,77.09166596833329,0.6707812547683716,7371710068805724,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09166596833329,28.888247485536596]}"
+1716361+643168,2020,4,28.888382232829215,77.09166596833329,0.6139062643051147,7371710068805727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09166596833329,28.888382232829215]}"
+1716362+643128,2020,2,28.88660806014308,77.0917108840975,0.3805468678474426,7371714363772984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0917108840975,28.88660806014308]}"
+1716362+643194,2020,11,28.889523501565176,77.09170475922055,0.5996875166893005,7371710068805752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09170475922055,28.889523501565176]}"
+1716362+643229,2020,1,28.891144552327884,77.09173334197959,0.7982812523841858,7371718658740381,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09173334197959,28.891144552327884]}"
+1716363+643097,2020,13,28.885101654512784,77.09173679703838,0.6832812428474426,7371705773838357,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09173679703838,28.885101654512784]}"
+1716363+643135,2020,17,28.88683792317166,77.09173598408337,0.6330468654632568,7371710068805691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09173598408337,28.88683792317166]}"
+1716364+643126,2020,7,28.886460479774975,77.09180392389477,0.5693750381469727,7371722953707572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09180392389477,28.886460479774975]}"
+1716364+643148,2020,37,28.887306075397635,77.0917102771277,0.7576562762260437,7371710068805697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0917102771277,28.887306075397635]}"
+1716364+643156,2020,2,28.887843243658743,77.091823173508,0.5598437786102295,7371727248674899,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.091823173508,28.887843243658743]}"
+1716364+643202,2020,1,28.889931826694323,77.091823173508,0.6715625524520874,7371727248674946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.091823173508,28.889931826694323]}"
