system:index,construction_year,count,latitude,longitude,presence,zone,.geo
+1715371+644212,2020,1,28.935296748542356,77.04722181965147,0.5609375238418579,7367462346151028,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04722181965147,28.935296748542356]}"
+1715372+644199,2020,3,28.934682899764876,77.04725176349429,0.1067187488079071,7367462346151014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04725176349429,28.934682899764876]}"
+1715372+644202,2020,1,28.934847590900297,77.04726673541568,0.09984374791383743,7367466641118314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04726673541568,28.934847590900297]}"
+1715372+644204,2020,1,28.93493742242871,77.04726673541568,0.4810156226158142,7367466641118316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04726673541568,28.93493742242871]}"
+1715373+644207,2020,3,28.935072169721327,77.04726673541568,0.4906249940395355,7367462346151023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04726673541568,28.935072169721327]}"
+1715373+644229,2020,12,28.935996685867902,77.04723679157287,0.5340625047683716,7367466641118338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04723679157287,28.935996685867902]}"
+1715374+644205,2020,2,28.934982338192917,77.04733410906199,0.4810156226158142,7367470936085613,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04733410906199,28.934982338192917]}"
+1715374+644217,2020,5,28.935512344210547,77.04728470172137,0.5268750190734863,7367466641118328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04728470172137,28.935512344210547]}"
+1715375+644238,2020,4,28.936464558411714,77.04733410906199,0.5160156488418579,7367466641118350,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04733410906199,28.936464558411714]}"
+1715376+644223,2020,15,28.935757883721543,77.04732662310128,0.6490625143051147,7367466641118333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04732662310128,28.935757883721543]}"
+1715377+644205,2020,1,28.934982338192917,77.04749131423671,0.4034375250339508,7367488115954797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04749131423671,28.934982338192917]}"
+1715377+644209,2020,2,28.93516200124974,77.04746885635461,0.45499998331069946,7367483820987505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04746885635461,28.93516200124974]}"
+1715379+644232,2020,1,28.936195063826478,77.04758114576512,0.49781250953674316,7367496705889416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04758114576512,28.936195063826478]}"
+1715380+644203,2020,9,28.934847590900297,77.04758114576512,0.7811718583106995,7367492410922089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04758114576512,28.934847590900297]}"
+1715380+644219,2020,2,28.9356111588918,77.04760360364723,0.20156249403953552,7367496705889403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04760360364723,28.9356111588918]}"
+1715382+644201,2020,6,28.93472032956838,77.04772337901845,0.7231249809265137,7367509590791269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04772337901845,28.93472032956838]}"
+1715383+644235,2020,10,28.936262437472784,77.047729367787,0.76171875,7367505295824008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.047729367787,28.936262437472784]}"
+1715400+644233,2020,7,28.936162981137755,77.04846662797375,0.45554685592651367,7367578310268037,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04846662797375,28.936162981137755]}"
+1715400+644410,2020,1,28.94419006985514,77.04852437681345,0.1457812488079071,7367586900202810,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04852437681345,28.94419006985514]}"
