system:index,construction_year,count,latitude,longitude,presence,zone,.geo
+1715364+644191,2023,1,28.93435351749403,77.04690740930204,0.6209374666213989,7367432281379935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04690740930204,28.93435351749403]}"
+1715364+644209,2023,5,28.935108102332695,77.04692537560771,0.6602343916893005,7367432281379951,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04692537560771,28.935108102332695]}"
+1715364+644211,2023,1,28.93525183277815,77.04690740930204,0.5199218988418579,7367432281379955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04690740930204,28.93525183277815]}"
+1715366+644213,2023,4,28.935274290660253,77.04699724083045,0.5511718988418579,7367440871314546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04699724083045,28.935274290660253]}"
+1715366+644226,2023,3,28.935925569241242,77.04695232506624,0.7125781178474426,7367432281379970,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04695232506624,28.935925569241242]}"
+1715367+644223,2023,8,28.935695375949685,77.04699724083045,0.6068750023841858,7367436576347259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04699724083045,28.935695375949685]}"
+1715368+644170,2023,4,28.933387828563603,77.04706461447675,0.33812499046325684,7367445166281801,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04706461447675,28.933387828563603]}"
+1715368+644179,2023,3,28.933799556402157,77.04705712851604,0.5517968535423279,7367445166281810,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04705712851604,28.933799556402157]}"
+1715368+644196,2023,11,28.934529097299563,77.0470584895998,0.28999999165534973,7367440871314530,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0470584895998,28.934529097299563]}"
+1715368+644205,2023,1,28.934982338192917,77.04708707235886,0.5840625166893005,7367449461249133,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04708707235886,28.934982338192917]}"
+1715368+644210,2023,2,28.935184459131843,77.04708707235886,0.3288281261920929,7367449461249137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04708707235886,28.935184459131843]}"
+1715368+644215,2023,5,28.935404546376454,77.04706012290033,0.6363281011581421,7367449461249141,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04706012290033,28.935404546376454]}"
+1715368+644219,2023,2,28.935588701009696,77.04708707235886,0.4764062464237213,7367449461249146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04708707235886,28.935588701009696]}"
+1715368+644238,2023,6,28.936352269001198,77.04708707235886,0.6396874785423279,7367449461249161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04708707235886,28.936352269001198]}"
+1715369+644177,2023,8,28.93360117844358,77.04711514471148,0.7217187285423279,7367449461249100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04711514471148,28.93360117844358]}"
+1715369+644201,2023,12,28.934754016391533,77.0470683574571,0.6761718988418579,7367445166281830,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0470683574571,28.934754016391533]}"
+1715370+644211,2023,1,28.93525183277815,77.04717690388728,0.20804686844348907,7367458051183731,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04717690388728,28.93525183277815]}"
+1715370+644217,2023,3,28.935491383520585,77.04716193196587,0.6061719059944153,7367453756216440,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04716193196587,28.935491383520585]}"
+1715372+644204,2023,8,28.934797060665566,77.04726112094515,0.2290624976158142,7367466641118310,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04726112094515,28.934797060665566]}"
+1715372+644213,2023,2,28.935341664306563,77.04724427753358,0.5645312666893005,7367462346151029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04724427753358,28.935341664306563]}"
+1715372+644217,2023,1,28.935521327363386,77.04726673541568,0.3004687428474426,7367466641118329,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04726673541568,28.935521327363386]}"
+1715373+644208,2023,6,28.93509462760343,77.04726673541568,0.42390623688697815,7367462346151023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04726673541568,28.93509462760343]}"
+1715373+644229,2023,13,28.93601194571087,77.04723563988662,0.6387500166893005,7367453756216451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04723563988662,28.93601194571087]}"
+1715374+644205,2023,2,28.934982338192917,77.04733410906199,0.6524218916893005,7367470936085613,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04733410906199,28.934982338192917]}"
+1715374+644218,2023,2,28.935566243127592,77.04733410906199,0.7384374737739563,7367470936085626,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04733410906199,28.935566243127592]}"
+1715375+644224,2023,13,28.935783911831052,77.04734274670895,0.7320312261581421,7367466641118334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04734274670895,28.935783911831052]}"
+1715375+644239,2023,7,28.93649022456269,77.04736298348185,0.7682031393051147,7367475231052942,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04736298348185,28.93649022456269]}"
+1715380+644204,2023,9,28.934892506664504,77.04758114576512,0.49335938692092896,7367492410922090,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04758114576512,28.934892506664504]}"
